mls_id,date_collected,description,bedrooms,bathrooms,size_sqft,stories,house_cat,price,address_number,street_name,full_street_name,locality,municipality,province_state,postal_code,pool_mentioned,lat,lon,street_name_std
X12362828,2026-01-15 18:03:47.242298+00:00,"Beautifully renovated FREEHOLD townhouse bungalow tucked into Guelphs desirable east end! This rare gem blends the ease of main-floor living W/stylish updates & zero condo fees-dream come true for downsizers, professionals or anyone craving low-maintenance comfort. Homes like this don't come up often, don't miss your chance to call it home! Step inside to gleaming hardwood beneath a flood of natural light in spacious living room. Open-concept dining area sets the stage for family dinners & casual entertaining. Renovated kitchen in 2023 shines W/white cabinetry, quartz counters & stone backsplash. Breakfast bar is perfect for casual bites & eat-in dining area opens onto upper deck. On the main floor you'll find 2pc bath W/convenient laundry right beside. Spacious primary bdrm with 3pc ensuite W/sleek vanity & W/I glass shower. Finished W/O bsmt delivers versatile living: large rec area W/sliding doors to backyard plus an office, add'l bdrm & 4pc bath perfect for guests, hobbies or multi-purpose use. All bathrooms upgraded in 2023 giving home a fresh modern feel. Unwind in fully fenced backyard W/professionally landscaped gardens & paved patio that's perfect for relaxing & entertaining. With an upper deck & lower patio this space offers 2 levels of enjoyment whether you're soaking up sun, dining W/friends or enjoying green surroundings. Exterior deck & stairs re-stained in Aug 2025 so you can enjoy a fresh updated space. Front porch & attached garage provide curb appeal & practicality W/ample driveway parking. Just steps from trail along Hadati Creek & short walk to Peter Misersky Park including off-leash dog area outdoor enthusiasts & pet owners alike will feel right at home. Downtown shops, dining & services are just mins away. Mechanical updates: furnace & AC 2020, owned HWT 2021 & water softener 2025. Combining thoughtful updates, functional design & prime location this bungalow-style townhome delivers carefree living in a vibrant highly walkable neighbourhood! (41136217)",1 + 1,3.0,1099.99,1.0,Row / Townhouse,789900.0,98,98 SCHRODER CRESCENT,"98 SCHRODER CRESCENT|Guelph (Grange Road), Ontario N1E7B4",Grange Road,Guelph (Grange Road),Ontario,N1E7B4,False,43.5592941,-80.2260099,98 schroder crescent
40775248,2026-01-15 18:03:47.242298+00:00,"Welcome to 6 Law Drive, a bright and inviting semi-detached home in Guelph's sought-after east end. Perfectly designed for modern family living, this home offers a thoughtful layout, abundant natural light, and functional spaces for both everyday life and entertaining. The main floor features a spacious living room, a dedicated dining area, and an eat-in kitchen with direct access to a brand-new deck and private backyard, ideal for family gatherings or relaxing outdoors. Upstairs, you'll find three well-appointed bedrooms, including a generous primary with walk-in closet, all designed with comfort in mind. The fully finished lower level adds valuable living space, including a rec room, full bathroom, laundry area, and an additional bedroom or office. This home has also seen many recent updates, making it beautifully move-in ready for its next owners. Beyond the home itself, this east-end location is unbeatable. Law Drive is a family-friendly street with a welcoming atmosphere. The area is known for excellent schools and is just minutes from Eastview Park, featuring soccer fields, volleyball courts, a splash pad, and Guelph's popular new pump track. Plus, you'll find several other parks and trails nearby, giving your family endless ways to enjoy the outdoors. 6 Law Drive isn't just a home, it's a place where your family can thrive in a vibrant community. Book your private showing today. (69710648)",3 + 1,3.0,1997.0000,2.0,House,779900.0,6,6 LAW Drive,"6 LAW Drive|Guelph, Ontario N1E7E8",,Guelph,Ontario,N1E7E8,False,43.56688457,-80.21952264,6 law drive
X12594578,2026-01-15 18:03:47.242298+00:00,"Picture this: You're just steps from the buzz of downtown Guelph, sipping coffee at a corner spot or wandering through St. Patrick's Ward's coolest streets, 60 Howitt Street puts it all right at your doorstep. Restaurants that hit the spot, parks for lazy afternoons, schools down the block, and endless little surprises around every turn. But wait till you step inside. This four-bedroom gem? It's like a warm hug from the past, mixed with today's easy vibe. Century-old charm whispers through the walls. Think those cozy details that make a house feel alive, while fresh updates keep everything sleek and simple. And the light? Oh man, it pours in like sunshine on a perfect day, bouncing off huge windows that make every room feel wide open and welcoming. That open layout flows just right, pulling you from kitchen chats to family movie nights without missing a beat. Two bathrooms mean no morning dashes or guest awkwardness, just smooth sailing for you and whoever calls this place home. But here's the real showstopper: Step out back, and bam-your own secret escape. Lush, tucked away, and all yours. Fire pit stories under the stars? Morning yoga with birds chirping? It's that kind of spot where worries melt and weekends stretch forever.Come see it. You won't want to leave. (41750021)",4,2.0,1099.99,2.0,House,784900.0,60,60 HOWITT STREET,"60 HOWITT STREET|Guelph (St. Patrick's Ward), Ontario N1E3C7",St. Patrick's Ward,Guelph (St. Patrick's Ward),Ontario,N1E3C7,False,43.5436527,-80.2404827,60 howitt street
X12525664,2026-01-15 18:03:47.242298+00:00,"Welcome to 77 Doyle Drive a beautiful 3bedroom, 3washroom family home offering over 1,600 square feet of comfortable living space in one of Guelph's most desirable neighborhoods. Here's your chance to own a large home at a price that leaves room for your imagination! With some cosmetic updates, you can build instant equity while adding your own personal touches, the attractive price point reflects this opportunity. This home is surrounded by pride of ownership a community where every street feels cared for and welcoming. Step inside to find a spacious layout perfect for growing families or investors looking for a solid opportunity in a thriving area. Enjoy the convenience of being within walking distance to top-rated schools, local businesses, medical clinics, entertainment spots, and everyday amenities. Plus, you're just minutes from the University of Guelph, making this an ideal location for families, students, or rental potential. The neighborhood continues to expand with new homes and developments, adding even more value to this already sought-after community. Whether you're a first-time home buyer looking for the perfect start or an investor seeking long-term growth, 77 Doyle Drive is the property you don't want to miss! Why buy someone else's renovations when you can design your dream space and still come out ahead in today's market? (41609991)",3,3.0,1499.99,2.0,House,789900.0,77,77 DOYLE DRIVE,"77 DOYLE DRIVE|Guelph (Clairfields/Hanlon Business Park), Ontario N1G5B9",Clairfields/Hanlon Business Park,Guelph (Clairfields/Hanlon Business Park),Ontario,N1G5B9,False,43.4974977,-80.1941149,77 doyle drive
40793035,2026-01-15 18:03:47.242298+00:00,"Welcome to 150 Applewood Crescent, a bright and welcoming detached raised bungalow located in Guelph's highly sought-after Willow/Junction neighbourhood. This thoughtfully cared-for 3 + 1 bedroom, 2 full bathroom family home offers a blend of comfort, functionality, and meaningful updates that make it truly move-in ready. The main floor features an inviting living and dining area filled with natural light, a well-laid-out kitchen with plenty of storage, and three comfortable bedrooms suited for families, guests, or a home office. The beautifully renovated main bathroom (2025) and fresh main-floor paint further elevate the space with a clean, modern feel. Downstairs, the finished lower level expands the home even further, offering a spacious recreation room, large windows, an additional bedroom, and a second full bathroom, ideal for guests, teens, in-laws, or a private workspace. This level's flexibility makes it perfect for entertainment, multi-generational living, or creating separate zones for work and relaxation. Significant updates throughout include newer siding, eavestroughs, gutter guards (2018), a repaved driveway (2018), furnace (2017), and a full roof replacement in 2025, providing peace of mind and long-term value. The location is a standout feature. Set on a quiet, tree-lined street, this property is steps from parks, schools, transit, and everyday amenities. Norm Jary Park, Willow Road Public School, local shops, and restaurants are all within walking distance, while downtown Guelph, the GO Station, and key commuter routes are just minutes away. Loved for its mature trees, community atmosphere, and walkability, the Willow/Junction neighbourhood continues to be one of Guelph's most cherished areas. With its updated interior, flexible layout, and exceptional setting, 150 Applewood Crescent offers a rare opportunity to settle into a truly established and well-connected community. Simply move in and enjoy. (69966406)",3 + 1,2.0,1717.9000,1.0,House,789900.0,150,150 APPLEWOOD Crescent,"150 APPLEWOOD Crescent|Guelph, Ontario N1H6B7",,Guelph,Ontario,N1H6B7,False,43.54217425,-80.27945529,150 applewood crescent
X12464144,2026-01-15 18:03:47.242298+00:00,"Spacious and Bright Energy Star Freehold Townhome! This beautifully maintained home offers a perfect blend of style, comfort, and functionality. The open-concept great room is highlighted by upgraded hardwood flooring and abundant natural light, creating a warm and inviting space for family and entertaining.The modern kitchen features a raised breakfast bar, upgraded cabinets, stainless steel appliances, and a convenient microwave range hood. Upstairs, you'll find a handy second-floor laundry, along with a bright primary bedroom showcasing a cathedral ceiling, walk-in closet, and an upgraded 3-piece ensuite bath.The newly finished basement includes an egress window, providing additional living or recreation space with flexibility for your needs. The entire home has been freshly painted in natural tones, giving it a clean, modern feel throughout.Enjoy outdoor living in the fully fenced, low-maintenance backyard, featuring a massive deck that covers nearly the entire space perfect for relaxing or entertaining.Additional highlights include a garage door opener, great curb appeal, and a highly sought-after location close to schools, parks, and amenities. (41457428)",3,3.0,1499.99,2.0,Row / Townhouse,799900.0,35,35 AMSTERDAM CRES,"35 AMSTERDAM CRES|Guelph (Pineridge/Westminster Woods), Ontario N1L0G2",Pineridge/Westminster Woods,Guelph (Pineridge/Westminster Woods),Ontario,N1L0G2,False,43.5174008,-80.1927284,35 amsterdam cres
X12459696,2026-01-15 18:03:47.242298+00:00,"Bright & Airy South End Freehold Townhouse Perfectly situated between the University, top-rated schools, and South End shopping centres, this move-in-ready freehold townhouse offers the ideal blend of convenience and comfort. Freshly painted in neutral tones and featuring brand-new flooring in the main floors great room, this home exudes a bright, modern feel. The highlight is the fully finished walk-out basement, filled with natural light and opening onto a beautiful private backyard ideal for entertaining, relaxing, or study breaks in the sun. The lower level also includes a spacious 3-piece bathroom, adding versatility and function to the space. Whether your looking for a family home or a smart investment property for a student starting university, this home checks every box. (41443589)",3,4.0,1499.99,2.0,House,799900.0,42,42 HASLER CRESCENT,"42 HASLER CRESCENT|Guelph (Pineridge/Westminster Woods), Ontario N1L0A2",Pineridge/Westminster Woods,Guelph (Pineridge/Westminster Woods),Ontario,N1L0A2,False,43.5202807,-80.1898055,42 hasler crescent
X12432374,2026-01-15 18:03:47.242298+00:00,"Step into comfort and style with this 3 bedroom, 3 bathroom 2-storey home in Guelph's desirable East End. Nestled in a family-friendly neighbourhood close to great schools, this home is designed for both everyday living and lasting memories. At the heart of the home, the kitchen offers tons of cupboard storage and generous counter space, making it perfect for meal prep and family gatherings. The bright, light-filled living room creates a warm and inviting atmosphere, ideal for relaxing or entertaining. Upstairs, the primary bedroom with private ensuite provides a retreat at the end of the day, with two additional bedrooms offering flexibility for family, guests, or a home office.The finished basement adds valuable living space, while the fully fenced backyard is perfect for summer BBQs, kids at play, or enjoying a quiet evening outdoors.This is more than just a house, its the lifestyle you've been waiting for. (41357503)",3,3.0,1499.99,2.0,House,824900.0,25,25 MACKAY STREET,"25 MACKAY STREET|Guelph (Grange Road), Ontario N1E7H3",Grange Road,Guelph (Grange Road),Ontario,N1E7H3,False,43.5646757,-80.2239829,25 mackay street
X12567552,2026-01-15 18:03:47.242298+00:00,"Contemporary Urban Style Living at its finest, this stunning 3 level townhome is located in the highly desirable Metalworks community, just a short walk to downtown Guelph, the Go-train station and all the restaurants, entertainment and shopping that downtown Guelph has to offer. As you approach the front of the home the first thing you will notice as you head up the steps is the large terrace a perfect place to sit and relax as well as great space to entertain your family and guests. Inside you will love the contemporary styling, neutral decor, high ceilings, the custom designed kitchen with quartz counter tops, centre island, and stainless appliances. The kitchen is open concept to main floor living area, there is large storage pantry, a 2 piece washroom, hall closet and access to the parking garage. Head up to the second level and there is a generous size family room, a good-sized bright bedroom and modern 4-piece bathroom, a storage room and a work/ hobby room or extra storage room. Head up to the third level you will find a nice bright primary bedroom with a private balcony, a spacious ensuite bathroom with soaker tub, and large glass shower, and a good-sized walk-in closet with a infra-red sauna. On the third level you also have the benefit of the full laundry room complete with washer dryer.This unit also has the benefit of 2 INDOOR PARKING SPACES, which is a rare find. Being part of the Metalworks community, you can enjoy all the amenities, including a gym, speak easy lounge, function room with kitchen, guest suite, pet spa, barbecues, terraces, green space and much more. This is a fabulous location, just steps away from Springmill Distillery, the river walk area, easy access in and out of the property for dog owners, extra parking outside the unit, this property is a rare find and must be seen. (41694970) | Amenities: Security/Concierge, Recreation Centre",2,3.0,1599.98,3.0,Row / Townhouse,824900.0,53,AT5 - 53 ARTHUR STREET S,"AT5 - 53 ARTHUR STREET S|Guelph (St. Patrick's Ward), Ontario N1E0P5",St. Patrick's Ward,Guelph (St. Patrick's Ward),Ontario,N1E0P5,False,43.5462879,-80.2418505,at5 - 53 arthur street s
40781798,2026-01-15 18:03:47.242298+00:00,"Welcome to 9 Elsegood Drive, a beautifully maintained 3-bedroom, 2.5-bathroom semi-detached home in Guelph’s highly desirable Kortright East neighbourhood. Built in 2022, this modern gem combines stylish finishes with family-focused functionality — all nestled in the quiet, south end of Guelph. Step inside to 9' ceilings, pot lights, and sun-filled living spaces that flow effortlessly from the granite countertop kitchen (with stainless steel appliances & loads of storage!) to the cozy dining area and bright living room. Slide open the patio doors and enjoy easy access to the backyard — perfect for kids, pets, and weekend BBQs. Upstairs, retreat to the spacious primary bedroom featuring a walk-in closet, an extra double closet, and a 4-piece ensuite. Two additional bedrooms offer generous space and natural light, ideal for growing families or a home office setup. The unfinished basement is full of future potential — customize it your way with extra living space, a gym, or playroom. Additional features include a central vacuum, garage door opener, and parking for 3 cars with no sidewalk to shovel! Located just minutes from the Claire Road shopping hub, Stone Road Mall, University of Guelph, and a brand-new high school being built at Victoria Rd S & Arkell — this is a rare chance to own in one of Guelph’s most family-oriented communities. Don’t miss your opportunity to call this nearly-new home yours! (69820694)",3,3.0,1483.0000,2.0,House,829900.0,9,9 ELSEGOOD Drive,"9 ELSEGOOD Drive|Guelph, Ontario N1L0R5",,Guelph,Ontario,N1L0R5,False,43.52354845,-80.1961882,9 elsegood drive
