mls_id,date_collected,description,bedrooms,bathrooms,size_sqft,stories,house_cat,price,address_number,street_name,full_street_name,locality,municipality,province_state,postal_code,pool_mentioned,lat,lon,removal_id,removal_date,street_name_std,recommended_reachout_date,reached_out,date_reached
X12522108,2026-01-07 18:36:38.241227+00:00,"Nestled on a quiet cul-de-sac, this exceptional Sloot Home offers refined luxury, thoughtful design, and unparalleled versatility with an 1,100sq.ft. legal 2-bedroom apartment. From the moment you arrive, the custom hardscaping and landscaping set an elegant tone, leading to a home that blends sophistication and comfort. The stunningly updated kitchen is a true showpiece, flaunting Bamco cabinetry, quartz countertops, built-in appliances, and a contrasting island with a gas cooktop and seating, all complemented by a walk-in pantry. The kitchen flows effortlessly into the family room, where Brazilian dark hardwood flooring, vaulted ceilings, and a stone-surround gas fireplace create a warm ambiance. From here, walk out to the expansive upper deck, perfect for outdoor dining or relaxation. The main level offers 9' ceilings enhancing the sense of space in the formal dining room, living room, and office space. Everyday convenience is elevated with a main floor mudroom and powder room. Upstairs, the primary suite is complete with a 4pc ensuite with deep soaker tub, a double-sided fireplace, a spacious walk-in closet, and exclusive access to a 12'x16' deck. This level also includes a custom AV room with wet bar (perfect for movie nights or entertaining), 3 additional bedrooms (2 with walk-in closets), a 4pc bathroom, and a convenient laundry room. The walk-out basement expands the home's functionality with an office, gym, and 4pc bathroom, while providing separate access to the legal 2-bedroom apartment. Designed with quadruple in-ceiling soundproofing, this self-contained unit includes in-suite laundry and access to the backyard, ideal for multi-generational living or rental income. Step outside to a fully fenced backyard oasis, featuring an 18' heated saltwater pool, patio, and a covered hot tub area with barn doors and windows for year-round enjoyment. Every inch of this property has been crafted for elegance and effortless living, creating a truly remarkable home. (41602542) | Amenities: Fireplace(s)",4 + 2,5,3499.97,2.0,House,2400000.0,8,8 ZADUK PLACE,"8 ZADUK PLACE|Guelph (Kortright East), Ontario N1G0A7",Kortright East,Guelph (Kortright East),Ontario,N1G0A7,True,43.5313449,-80.2071689,6515,2026-01-15 03:07:41.259837+00:00,8 zaduk place,2026-03-16 03:07:41.259837+00:00,False,
X12640406,2026-01-07 18:36:38.241227+00:00,"Stylish & Spacious in Rockwoods Ashton Ridge!Nestled on a quiet, family-friendly street lined with charming covered porches, this beautifully updated home blends comfort and elegance. Featuring a warm, open-concept living/dining area, a generous family-sized kitchen with breakfast nook, walk-out to deck, and a bright, inviting great room ideal for everyday living and entertaining.Upstairs offers a king-sized primary retreat with a luxurious 4-piece ensuite and jetted soaker tub, plus 3 additional spacious bedrooms, a large main bath, and a convenient second-floor laundry room. Notable Updates: All toilets replaced, upgraded laminate flooring throughout, roof replaced in 2021, stepped crown moulding, wide baseboards. Garage access, A must-see in one of Rockwoods most sought-after communities! pool sized lot, beautifully landscaped backyard featuring a large multi-level deck with 2 covered gazebos, relaxing hot tub, cozy firepit area with Adirondack chairs, BBQ setup, lush lawn, mature trees, stone pathway, and storage shed - perfect for entertaining and outdoor living! (41834265)",4 + 2,4,1999.98,2.0,House,1099890.0,109,109 HAMPSON CRESCENT,"109 HAMPSON CRESCENT|Guelph/Eramosa (Rockwood), Ontario N0B2K0",Rockwood,Guelph/Eramosa (Rockwood),Ontario,N0B2K0,True,43.614102,-80.1338747,6694,2026-01-15 03:07:41.259837+00:00,109 hampson crescent,2026-03-16 03:07:41.259837+00:00,False,
X12464474,2026-01-07 18:36:38.241227+00:00,"Set high on a hill and surrounded by mature trees and backing onto parkland,  this extraordinary residence offers the ultimate in privacy & sophistication. A classic, timeless exterior, perfectly situated in Fox Run Estates, one of the area's most coveted estate communities. Over 7300 sq ft of finished living space, it effortlessly blends elegance, comfort, design, and a touch of pizzazz. Magnificently located within minutes of all amenities as well as major transportation arteries, and yet a peaceful tranquil setting. Step inside and prepare to be impressed. The grand foyer boasting rich walnut flooring is flanked by a handsome home office on one side and an elegant formal dining room on the other - perfect for hosting special occasions. The private primary wing is a true retreat, complete with a newly renovated spa-like ensuite, a custom walk-in closet with Birdseye Maple cabinetry, and a private deck leading to a hot tub - the perfect spot to unwind at day's end. The state-of-the-art Downsview kitchen is a chef's dream, featuring an enormous granite island and abundant workspace for multiple cooks to collaborate in style. The bright breakfast area enjoys scenic countryside views, while the adjacent 2 storey sitting area offers a sunny sanctuary. This wing also provides access to a private front courtyard, a second main-floor powder room, laundry room and 3 car garage, along with convenient access to the rear yard and pool area. At the heart of the home, the family room is defined by a granite faced gas fireplace. Custom cabinetry houses an entertainment centre and French doors lead to an expansive rear deck overlooking the pool - a seamless blend of indoor and outdoor living. Upstairs, 2 bedrooms share a full Jack & Jill bath Third bedroom features its own private ensuite. Prepare to be dazzled once again on the lower level, where a recent renovation has transformed the space into an entertainer's dream. (41458733) | Amenities: Fireplace(s)",4,6,4999.95,2.0,House,3298000.0,20,20 FOX RUN DRIVE,"20 FOX RUN DRIVE|Puslinch, Ontario N0B2J0",,Puslinch,Ontario,N0B2J0,True,43.4822832,-80.1565475,6437,2026-01-15 03:07:41.259837+00:00,20 fox run drive,2026-03-16 03:07:41.259837+00:00,False,
X12586468,2026-01-15 18:03:47.242298+00:00,"Welcome to 4 Popham - a beautifully renovated modern home in Guelph's family-friendly East End, directly across from Summit Ridge Park. This carpet-free home features an open-concept main floor with hardwood throughout, flowing from the bright living room into a spacious dining area. The newly updated kitchen offers quartz countertops, stainless steel appliances including a gas range, a center island with breakfast bar, and abundant cabinet and pantry space. A stylish 2-piece powder room completes this level. Upstairs, the large primary bedroom includes a walk-in closet and a luxurious ensuite with soaker tub and separate shower. Two additional bedrooms feature hardwood flooring and generous closets. The versatile second-floor family room-currently used as a fourth bedroom-can easily be converted permanently if desired. Convenient second-floor laundry with gas dryer and a full 4-piece bathroom finish this level. The fully finished basement adds valuable living space, featuring a wet bar with rough-in for a full kitchen, a newly finished 3-piece bathroom, and a spacious bedroom with walk-in closet and sound insulation-perfect for guests, an office, or a teen suite. Additional storage is located near the furnace and water softener. The heated, oversized two-car garage provides extended width and depth, and the stamped concrete driveway parks four vehicles & an oversized garage. The backyard is a true oasis with a heated saltwater POOL featuring a waterfall, LED color-changing lights, and multiple depths. Glass railings, poured concrete, and perennial landscaping create a beautiful, low-maintenance retreat, while still leaving space for a sandpit, play structure, and green area. Major updates include: Master Bathroom (2022) Main Washroom (2022) Powder Room (2022) Roof (2018), Furnace (2016), A/C (2019), Saltwater Pool (2019), Added Waffle Ceilings & Wainscoting. Brand New Fridge added! (41733854)",4 + 1,4.0,1999.98,2.0,House,1250000.0,4,4 POPHAM DRIVE,"4 POPHAM DRIVE|Guelph (Grange Road), Ontario N1E0B7",Grange Road,Guelph (Grange Road),Ontario,N1E0B7,True,43.5707846,-80.2309941,5365,2026-01-07 13:36:44.038281+00:00,4 popham drive,2026-03-08 13:36:44.038281+00:00,False,
X12497224,2025-12-22 19:52:20.123294+00:00,"Welcome to your own private backyard oasis in one of Guelph's most peaceful cul-de-sacs! Backing onto greenspace for true privacy this spectacular 4-bdrm home offers 20 X 40 heated inground pool & outdoor retreat designed for relaxation & entertaining. Step inside & you'll immediately notice the bright inviting layout. Living room W/luxury vinyl floors & large picture window that fills space W/natural light. Dining room W/beautiful views of backyard make every meal feel special. Kitchen W/high-end S/S appliances, lots of storage & prep space. Window above sink overlooks mature trees for peaceful backdrop. A few steps down is family room anchored by gas fireplace & sliding doors that walk out to backyard retreat. Upstairs the primary bdrm offers double his-and-hers closets & modern ensuite W/glass W/I shower. 3 add'l bdrms provide generous closet space & natural light complemented by updated 4pc bath W/subway-tile shower/tub. Professionally finished basement adds more versatility W/large rec area, workout zone & storage. Backyard is truly the star of the show! Enjoy large deck W/pergola, interlock patio, secondary deck W/gazebo & mature landscaping surrounding heated inground pool. Brand-new pool house & recently serviced mechanicals provide peace of mind. Beyond the fenced pool area, a bonus greenspace offers endless possibilities-room for volleyball court, play area or future accessory dwelling unit (ADU) for extended family or rental income. Updates include: newer windows, newer electrical panel, furnace & AC (approx. 10yrs), roof (approx. 12yrs), updated bathrooms, modern light fixtures & upgraded flooring. With double garage & driveway parking is a breeze. Location is ideal for families-backing onto Windsor Park, steps to Waverley Dr PS & short walk to Speedvale Centre (grocery, LCBO & more). Nearby trails & Guelph Lake offer countless ways to stay active & connected to nature. Home offers perfect blend of lifestyle, comfort & long-term value-truly a rare find! (41552362) | Amenities: Fireplace(s)",4,3,1499.99,2.0,House,1299900.0,4,4 BERKLEY PLACE,"4 BERKLEY PLACE|Guelph (Riverside Park), Ontario N1E1E6",Riverside Park,Guelph (Riverside Park),Ontario,N1E1E6,True,43.5721999,-80.2614581,5279,2026-01-07 13:36:44.038281+00:00,4 berkley place,2026-03-08 13:36:44.038281+00:00,False,
X12430809,2025-12-22 19:52:20.123294+00:00,"Visit REALTOR website for additional information. This stylish family home might just check all the boxes for you: Quiet Cul de sac; Pie shaped lot; Income apartment; Prime Kortright Hills Neigbourhood in the South end of Guelph! It is perfect for a growing family, you'll love having access to some of the city's top schools, nearby trails, parks, and convenient commuter routes. Inside, the home has undergone many tasteful recent updates. The home starts with a welcoming front entrance with a full walk-in front closet say goodbye to cluttered entrances! The updated eat-in kitchen offers access to the rear composite deck for BBQ's and also opens to the sunken family room with views of the spacious backyard. Formal Living/dining room are just off the foyer and have also been recently updated with custom built in cabinetry. Upstairs, two generously sized bedrooms share a 4-piece bath, while the primary bedroom offers its own large walk-in closet and 4 piece ensuite bathroom. The fully finished basement is a standout feature. Architecturally designed, it offers a recently completed beautiful apartment (in the process of being registered) ideal for extended family, guests, or rental income. The basement apartment offers a large covered separate entrance which enters into a modern open Kitchen & Living Room with gas fireplace. Around the corner is a large bedroom, modern three piece bathroom and in-suite laundry. The basement area has been separated from the main home with the main home still retaining a large basement bedroom (yes, your teenager can still have their own space). Outside, the expansive pie shaped backyard is perfect for entertaining. With existing patios and a composite deck right off of the kitchen, there are also plenty of shade and fruit trees and enough space space for a future pool! (41352121) | Amenities: Fireplace(s)",3 + 2,4,1999.98,2.0,House,1299999.0,32,32 ELSLEY COURT,"32 ELSLEY COURT|Guelph (Kortright Hills), Ontario N1C1C8",Kortright Hills,Guelph (Kortright Hills),Ontario,N1C1C8,True,43.4964191,-80.2388912,5141,2026-01-07 13:36:44.038281+00:00,32 elsley court,2026-03-08 13:36:44.038281+00:00,False,
X12479218,2026-01-15 18:03:47.242298+00:00,"Tucked away at the back of Lambert Crescent, this tastefully updated sidesplit is move-in ready. From the moment you walk in the door the bright sunroom immediately catches your eye, offering vaulted ceilings, a cozy gas fireplace and heated floors, all with a view of the 16 x 32 heated inground pool. The main floor will continue to impress you with the open layout highlighted by a modern white kitchen, a dining space that opens to the deck with pool views, and a comfortable living area designed for relaxing or entertaining. The upper level includes 3 bedrooms and an updated 5-piece bathroom featuring a stunning tiled glass shower, double sinks, and in-floor heating.  Built-in dresser drawers and shelving have been added to the primary bedroom, combining style with smart storage solutions. The finished basement provides yet another versatile living space that could serve as a family room, workout area, or home office. This level also showcases a fully renovated 3-piece bathroom. Whether it's summer pool parties or quiet evenings by the fire, this home offers the perfect setting for making memories. (41505242) | Amenities: Fireplace(s)",3,2.0,1499.99,,House,999000.0,31,31 LAMBERT CRESCENT,"31 LAMBERT CRESCENT|Guelph (Dovercliffe Park/Old University), Ontario N1G2R4",Dovercliffe Park/Old University,Guelph (Dovercliffe Park/Old University),Ontario,N1G2R4,True,43.5149293,-80.2468488,889,2025-12-11 16:53:31.894697+00:00,31 lambert crescent,2026-02-09 16:53:31.894697+00:00,False,
X12471082,2026-01-15 18:03:47.242298+00:00,"A rare find! Spacious 4 bedroom, 4 bath home with POOL on a huge 60'x113' lot located on a quiet cul-de-sac. The bright and open main floor of this home has a large eat in kitchen with island, living room, dining room and bedroom that walks out to a patio. The freshly carpeted second floor has a large master bedroom with ensuite, fireplace and a balcony that overlooks the backyard.  There is also 4pc bath and 2 good sized bedrooms plus another bedroom that has been professionally converted to a kitchen for a previous inlaw suite but would easily convert to a second floor laundry or bedroom. The basement has a 3pc washroom, gym, laundry room and a rec room with a large egress window. . The private, fully landscaped backyard with 36'x18' inground pool, patio, pool house and gardens is ideal for entertaining or a growing family. Attached 2 car garage and double wide driveway. All appliances included. (41479526)",4,4.0,1999.98,2.0,House,999900.0,10,10 CARMINE PLACE,"10 CARMINE PLACE|Guelph (Victoria North), Ontario N1E3V1",Victoria North,Guelph (Victoria North),Ontario,N1E3V1,True,43.5729477,-80.2505038,893,2025-12-11 16:53:31.894697+00:00,10 carmine place,2026-02-09 16:53:31.894697+00:00,False,
X12457333,2026-01-15 18:03:47.242298+00:00,"Rare Find at Village By The Arboretum:  Premium Location Bungalow with Double Garage & Private Guest Loft!  Welcome to 21 Cherry Blossom Circle, one of the most uniquely desirable homes in the sought-after 55+ Village By The Arboretum community.  This modern-designed Bungaloft stands out with its major features and upgrades, including a double-car garage and an expansive loft space that incorporates an essential third bedroom and a full bathroom, providing unparalleled privacy for visiting guests. The main floor offers meticulously maintained living with vaulted ceilings, beautiful crown moulding, and a private primary suite featuring a spectacular new ensuite bath. This luxurious bath boasts a heated, programmable floor, a multi-head shower with a built-in seat, and a heated towel rack. The rear of the home features a comfortable family room with a new Sun Tunnel (2024) that opens directly onto a maintenance-free two-tiered composite deck, complete with a remote-control sunshade for easy comfort. Peace of mind is provided by significant, recent updates like a newer Furnace (2021), owned Water Heater (2025), improved 20"" attic insulation, and new garage doors, plus the unique whole-house mesh ""pest-proofing"". The home features 200 Amp electrical service and no ""popcorn"" ceilings, with a bath rough-in awaiting your future plans in the basement. This home provides the space, luxury, and convenience needed to fully enjoy the exceptional active adult lifestyle offered by the Village, including the pool and pickleball amenities. Location just cant be beat as all you have to do is cross the street to gain access to the main club house with a virtual unending list of amenities and activities. (41435967) | Amenities: Fireplace(s)",3,3.0,1499.99,1.5,House,995000.0,21,21 CHERRY BLOSSOM CIRCLE,"21 CHERRY BLOSSOM CIRCLE|Guelph (Village By The Arboretum), Ontario N1G4X7",Village By The Arboretum,Guelph (Village By The Arboretum),Ontario,N1G4X7,True,43.531897,-80.2175224,903,2025-12-11 16:53:31.894697+00:00,21 cherry blossom circle,2026-02-09 16:53:31.894697+00:00,False,
X12601652,2026-01-15 18:03:47.242298+00:00,"77 Severn Drive is strategically located in Guelph's desirable East End, offering protected greenspace views to the front and back. This open-concept FREEHOLD townhome (no condo fees) offers the functionality of a detached house combined with the peaceful setting of a quiet street. The inviting cobblestone walkway leads you into a home where the main floor shines with an open-concept layout integrating a well-sized eat-in kitchen with a bright, comfortable living area, featuring a custom fireplace. Oversized windows and a sliding back door maximize natural light and open onto a private backyard setting, complete with a spacious deck and fully fenced yard; enjoy the tranquility provided by the established perennial garden and the beautiful protected greenspace views. The upper floor features a spacious primary suite with an expansive closet complete with sliding barn doors and built-in shelving, a full 4-piece bathroom, and two additional bedrooms overlooking the nearby nature area. The finished lower level adds immediate bonus living space with a large recreation room and a modern three-piece bathroom. This FREEHOLD townhome is an excellent choice for first-time buyers and growing families, providing substantial local convenience: it is within walking distance to multiple parks and excellent schools (including a French Immersion option). Residents enjoy immediate access to the Watson Creek Trails plus local amenities like Eastview Community Park (splash pad, disc golf, pump track) and the East End Guelph Public Library. The Victoria Road Recreation Centre (pool, arena) is a quick drive away, and the property is located a short drive from the planned Guelph Innovation District, ensuring strong future growth. This property delivers a unique blend of established community convenience and quiet natural setting privacy. Image Disclaimer: Some images have been digitally enhanced. (41764696) | Amenities: Fireplace(s)",3,3.0,1099.99,2.0,Row / Townhouse,720000.0,77,77 SEVERN DRIVE,"77 SEVERN DRIVE|Guelph (Grange Road), Ontario N1E7L2",Grange Road,Guelph (Grange Road),Ontario,N1E7L2,True,43.5734867,-80.2138238,976,2025-12-11 16:53:31.894697+00:00,77 severn drive,2026-02-09 16:53:31.894697+00:00,False,
